attendance_id,event_id,timeslot_id,user_id,created_date,modified_date,rating,custom_signup_field_values,feedback,status,attended
961149,91154,541134,474960,1556031669,1559850718,Positive,[],wfp is my political home,REGISTERED,True
961379,91154,541134,474960,1556046484,1605725125,Positive,[],boom,REGISTERED,True
961562,91154,541134,445617,1556061750,1559850005,,[],,REGISTERED,
961684,91154,541135,516527,1556074554,1559850062,,[],,REGISTERED,
961685,91154,541136,516527,1556074554,1559850273,,[],,REGISTERED,
961686,91154,541137,516527,1556074554,1559850026,,[],,REGISTERED,
964336,91154,541136,519512,1556239906,1559850387,,[],,REGISTERED,
964446,91154,541137,59617,1556245143,1605722829,,[],,REGISTERED,False
964447,91154,541138,59617,1556245143,1559850369,,[],,REGISTERED,
965207,91154,541137,3288,1556310286,1605722829,,[],,REGISTERED,False
969877,91154,541141,8364,1556655895,1559850713,,[],,REGISTERED,
969955,91154,541141,4560,1556659602,1605722512,,[],,REGISTERED,False
972695,91154,541144,283640,1556856531,1559850830,,[],,REGISTERED,
978107,91985,545482,474960,1557174879,1559850227,,[],,REGISTERED,
978117,91985,545483,474960,1557175290,1559850227,,[],,REGISTERED,
998738,91985,548506,474960,1557944429,1559851148,,[],,REGISTERED,
998906,91985,548508,549105,1557948665,1559851152,,[],,REGISTERED,
999303,91985,548506,548614,1557951714,1559851160,,[],,REGISTERED,
1001057,91985,548506,28505,1558006031,1559851203,,[],,REGISTERED,
1004663,91985,548507,193152,1558123725,1559848717,,[],,REGISTERED,
1006961,91985,548508,193152,1558205825,1559850926,,[],,REGISTERED,
1008676,91985,548509,556080,1558317358,1559850603,,[],,REGISTERED,
992298,92623,547202,474960,1557602884,1559850761,,[],,REGISTERED,
992397,92623,547202,59617,1557607438,1559850418,,[],,REGISTERED,
994687,92623,547204,445617,1557775900,1559851015,,[],,REGISTERED,
996786,92623,547205,181761,1557860562,1559851086,,[],,REGISTERED,
996954,92623,547205,547642,1557865103,1559851091,,[],,REGISTERED,
997575,92623,547205,23165,1557881096,1559851108,,[],,REGISTERED,
998553,92623,547206,54922,1557937694,1559851142,,[],,REGISTERED,
1001460,92623,547207,155957,1558018774,1559851212,,[],,REGISTERED,
1003527,92623,547208,552465,1558098773,1559851278,,[],,REGISTERED,
1011208,92623,547212,8364,1558472050,1559851402,,[],,REGISTERED,
1400586,110421,696459,669797,1569014364,1570107409,Positive,[],,REGISTERED,True
