event_id,accessibility_notes,approval_status,created_by_volunteer_host,modified_date,event_campaign,instructions,timezone,virtual_action_url,featured_image_url,browser_url,tags,title,event_type,summary,address_visibility,high_priority,created_date,accessibility_status,visibility,timeslots,is_virtual,description
91154,,APPROVED,False,1601665109.0,,,America/Chicago,https://www.wfp4themany.org/text,https://mobilizeamerica.imgix.net/uploads/event/Copy%20of%20TX%20Endorsed%20%281%29_20190423144959602944.png,https://www.mobilize.us/workingfamilies/event/91154/,,Text Out the Vote Texas!,TEXT_BANK,"In 2019, it’s Our Turn to show up. It’s Our Turn to run. It’s Our Turn to decide.",PUBLIC,,1556031010.0,,PUBLIC,,True,"### Municipal elections are won and lost by a handful of votes.  

Texas Working Families Party took a look at the numbers from the 2017 municipal election and saw that overwhelmingly, Millennial voters did not turn out. We’d guess, that most Millennials didn’t know that they had missed the chance to vote. **We don’t want this to happen again in 2019.**

### Texas WFP believes local people should be represented in local government, but unfortunately, that’s not what we’re seeing. 

### So what is Our Turn?

Our Turn Texas is the Texas Working Families Party’s Big Bold Idea to get a few more young Texans involved in local politics. Municipal elections aren’t sexy. There aren’t rock star candidates with celebrity endorsements. But what’s at stake are every day issues that affect all of us and last time, only 1% of Millennial voters showed up. 

### In 2019, it’s Our Turn to show up. It’s Our Turn to run. It’s Our Turn to decide."
91985,,APPROVED,False,1601665380.0,,"Head to https://www.wfp4themany.org/call4themany-events/carlosgarciarunoffphonebank to get started! 

Use the chat feature if you need help connecting to the dialer or want have questions about the campaign!",America/Los_Angeles,https://www.wfp4themany.org/call4themany-events/carlosgarciarunoffphonebank,https://mobilizeamerica.imgix.net/uploads/event/Carlos4Phoenix%20Card_20190506203412773572.jpg,https://www.mobilize.us/workingfamilies/event/91985/,,"ELECT CARLOS FOR COUNCIL, PHOENIX AZ D8",PHONE_BANK,Help elect a community activist to Phoenix City Council!,PUBLIC,,1557174776.0,,PUBLIC,,True,"Virtual Phonebank Hours: 
Weekdays 11:00 am - 8:00 pm & Weekends 10:00 am - 6:00 pm"
92623,,APPROVED,False,1601663395.0,,"**Here's how to get started:**
First, join the national SLACK workspace where we can easily collaborate with activists and members across the country!

**Click here to get started --** http://bit.ly/WFP4theManySlack2

Once you've joined, our team of 'Welcomers' and guides will get you acquainted with the various opportunities to turn your passion for justice into action.

Thanks for joining the team!",America/New_York,https://www.wfp4themany.org/text,https://mobilizeamerica.imgix.net/uploads/event/wf_logo_xl_20190511191234352540.png,https://www.mobilize.us/workingfamilies/event/92623/,,Text Out the Vote with WFP Pennsylvania!,TEXT_BANK,Help elect REAL progressives to local PA offices now!,PUBLIC,,1557602801.0,,PUBLIC,,True,"**The WFP4theMany Texting Team #Text4Resistance has just launched a new campaign to support candidates in PA! See more about the campaign here and join in at www.WFP4theMany.org/text**

**[See more info at the active campaign page here](https://airtable.com/shrVDisAJhyTg7cHE)**

Already a WFP T4R team member & need to schedule your text shift for a future date/time? [T4R SELF SCHEDULE TOOL](http://bit.ly/T4RSelfSchedule)"
110421,,APPROVED,True,1601665451.0,,,America/New_York,,https://mobilizeamerica.imgix.net/uploads/organization/Interim%20Bet%20On%20Us%20Graphic%204_20190809025915302425.png,https://www.mobilize.us/workingfamilies/event/110421/,,Savannah #BetOnUs House Gathering!,HOUSE_PARTY,,PUBLIC,,1565335026.0,,PUBLIC,,False,"Do you identify as a black woman or non-binary Black person? Are you looking for an electoral home that is as bold as your political dreams? 

We want to build with you! 

Bet On Us is an opportunity for our community of Black women and non-binary people to take the first steps towards creating an action plan to support building a local electoral home. A electoral home that will see us, serve us and bet on us to lead our communities.

Please sign up to join our #BetOnUs house party"
115864,My house has about 6 steps to enter the front door.,APPROVED,True,1601665474.0,,,America/New_York,,https://mobilizeamerica.imgix.net/uploads/organization/Interim%20Bet%20On%20Us%20Graphic%204_20190809025915302425.png,https://www.mobilize.us/workingfamilies/event/115864/,,Atlanta #BetOnUs House Gathering!,HOUSE_PARTY,,PUBLIC,,1567043250.0,NOT_SURE,PUBLIC,,False,"Do you identify as a Black woman or non-binary person? Are you looking for an electoral home that is as bold as your political dreams? 

We want to build with you! 

Bet On Us is an opportunity for our community of Black women and non-binary people to take the first steps towards creating an action plan to support building a local electoral home. A electoral home that will see us, serve us and bet on us to lead our communities. 

Sign up to join a house party today!"
116366,,APPROVED,True,1601665529.0,,,America/New_York,,https://mobilizeamerica.imgix.net/uploads/organization/Interim%20Bet%20On%20Us%20Graphic%204_20190809025915302425.png,https://www.mobilize.us/workingfamilies/event/116366/,,East Point #BetOnUs House Gathering!,HOUSE_PARTY,,PUBLIC,,1567140081.0,ACCESSIBLE,PUBLIC,,False,"Hosts Keauna Gregory, Erica Clemmons Dean and Britney Whaley for the East Point Bet on Us house party!

Do you identify as a Black woman or non-binary person? Are you looking for an electoral home that is as bold as your political dreams? 

We want to build with you! 

Bet On Us is an opportunity for our community of Black women and non-binary people to take the first steps towards creating an action plan to support building a local electoral home. A electoral home that will see us, serve us and bet on us to lead our communities. 

Sign up to join a house party today!"
223505,,APPROVED,False,1601664532.0,,,America/New_York,,https://mobilizeamerica.imgix.net/uploads/event/Why%20She%20Ran%20-%20Facebook%20Banner%204%20with%20panelists_20200205054926067305.png,https://www.mobilize.us/workingfamilies/event/223505/,,Why She Ran Atlanta,COMMUNITY,A Conversation with Progressive Womxn in Politics,PUBLIC,,1580830206.0,NOT_SURE,PUBLIC,,False,"Join Georgia Working Families Party for Why She Ran: a conversation with progressive womxn who have run for office and want to give you a peek behind the scenes.  

This event is open to progressive candidates, leaders, activists and organizers who want to have a candid conversation about obstacles womxn candidates face and how some of our fearless leaders have overcome those challenges. 

Bring your questions. We will bring the wine :)"
223881,,APPROVED,False,1601662468.0,,,America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/fullsizeoutput_14dc_20200213222534935193.jpeg,https://www.mobilize.us/workingfamilies/event/223881/,,WFP WI Texting Tuesdays!,TEXT_BANK,Texting Tuesdays are back!,PUBLIC,,1580850589.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April 7th, nothing short of our children’s future is on the ballot. City of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself every Tuesday from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!"
223882,,APPROVED,False,1601666258.0,,,America/Chicago,,https://mobilizeamerica.imgix.net/uploads/event/3_2%20Ratio%20Texting%20Tuesdays%20_20200204210918676407.png,https://www.mobilize.us/workingfamilies/event/223882/,,Texting Tuesdays!,TEXT_BANK,Texting Tuesdays are back!,PUBLIC,,1580850615.0,ACCESSIBLE,PUBLIC,,False,"In 2018, we got together and defeated Scott Walker. Last year, we elected five public school champions to the MPS School Board. Now, the time has come to have some fun and make a difference texting Milwaukee voters on behalf of the upcoming Milwaukee Public School referendum.

This April, nothing short of our children’s future is on the ballot. In only 63 days, city of Milwaukee voters will have a chance to increase funding to Milwaukee Public Schools, providing the deeply needed resources our students deserve.

Join public school advocates in your community like yourself every Tuesday from 5:30-7:30pm at our WIWFP MKE HQ, 413 N. 2nd St. We’ll have snacks, beer (and other beverages), and most important camaraderie! This is too important for us to sit on the sidelines!

Sign up for more Texting Tuesdays here: https://www.mobilize.us/workingfamilies/event/223881/"
226842,,APPROVED,False,1601662677.0,,"# Thanks for signing up!

**Please use this form to find your ride (or offer a ride if you are able to drive!).**

[Find a Ride »](https://docs.google.com/forms/d/1frzpAHAZ7RINeXFZB8hhyxfS5G_V3S1jGga2VMNh7us/viewform?edit_requested=true#start=invite)

An organizer will be touch then shortly to help make sure you are connected to a ride or riders. 

**Thank you again for joining us and making a huge difference with us! Let's get in to #WinWithWarren !**",America/New_York,https://docs.google.com/forms/d/1frzpAHAZ7RINeXFZB8hhyxfS5G_V3S1jGga2VMNh7us/viewform?edit_requested=true#start=invite,https://mobilizeamerica.imgix.net/uploads/event/sarainNH_20200207164835466011.png,https://www.mobilize.us/workingfamilies/event/226842/,,WFP4Warren Weekend of Action in New Hampshire!,OTHER,Find a ride and join WFP in NH to get out the vote!,PUBLIC,,1581094653.0,,PUBLIC,,True,"**There are just 4 days before the New Hampshire primary — and we need to put it all on the field in order to pull out a victory for Elizabeth Warren.**

That’s why a few days ago I drove up from Brooklyn, in order to knock on doors to help get out the vote. There really is no better way to cut through the noise of the cable news pundits, billionaires blanketing the airwaves, and online trolls, then talking to voters face-to-face. And if you join me in New Hampshire this weekend, we can prove that good ol’ grassroots organizing is the most effective way to reach voters and achieve the big, structural change that we need.

**There are carpools leaving from New York City to New Hampshire tomorrow and every day before Tuesday’s primary. Find a ride and join me in New Hampshire to help get out the vote, and together we can propel Elizabeth Warren to victory.**

[Find a Ride »](https://docs.google.com/forms/d/1frzpAHAZ7RINeXFZB8hhyxfS5G_V3S1jGga2VMNh7us/viewform?edit_requested=true#start=invite)

Since I’ve arrived in New Hampshire, I’ve had meaningful conversations with people all over this state.

I talked to a man who said he lost his home and life savings during the 2008 economic crisis. A young mother who struggles to pay for child care. And a recent college grad who worries if she’ll ever be able to pay off her student loans.

By just listening to fellow working people and sharing how Elizabeth Warren’s vision for America will make a marked difference in their lives, I’ve been able to reach a ton of people. And, let me tell you — nothing beats the thrill of knocking on a door and getting a whole family to commit to Elizabeth Warren!

So as we enter the home stretch before the first primary in the nation, [find a ride and join me on the doors to help elect Elizabeth Warren!](https://docs.google.com/forms/d/1frzpAHAZ7RINeXFZB8hhyxfS5G_V3S1jGga2VMNh7us/viewform?edit_requested=true#start=invite)

**And if you’ve never canvassed before, don’t worry — there are a ton of experienced organizers here who are ready and excited to train you.**

See you there,"
